timestamp,image,gt_width_mm,gt_height_mm,pred_width_mm,pred_height_mm,width_abs_error_mm,height_abs_error_mm,width_pct_error,height_pct_error,confidence
2026-07-17T00:36:01,IMG_6437.JPG,152.0,145.0,151.39,150.76,0.61,5.76,0.4,3.98,0.9623
2026-07-17T00:36:12,IMG_6438.JPG,152.0,145.0,151.05,150.13,0.95,5.13,0.63,3.54,0.9649
2026-07-17T00:36:27,IMG_6439.JPG,152.0,145.0,151.75,149.04,0.25,4.04,0.17,2.79,0.9588
2026-07-17T00:36:41,IMG_6440.JPG,152.0,145.0,155.28,152.68,3.28,7.68,2.16,5.3,0.9633
2026-07-17T00:36:55,IMG_6441.JPG,152.0,145.0,155.18,152.26,3.18,7.26,2.09,5.01,0.9589
2026-07-17T00:37:07,IMG_6442.JPG,152.0,145.0,155.07,152.76,3.07,7.76,2.02,5.35,0.9545
2026-07-17T00:37:18,IMG_6445.JPG,152.0,145.0,151.86,147.56,0.14,2.56,0.09,1.77,0.9555
2026-07-17T00:37:29,IMG_6446.JPG,152.0,145.0,152.96,148.51,0.96,3.51,0.63,2.42,0.9552
2026-07-17T00:37:43,IMG_6452.JPG,152.0,145.0,146.47,145.59,5.53,0.59,3.64,0.4,0.8976
2026-07-17T00:37:55,IMG_6471.JPG,152.0,145.0,159.05,158.38,7.05,13.38,4.64,9.23,0.9596
2026-07-17T00:38:06,IMG_6472.JPG,152.0,145.0,157.23,155.85,5.23,10.85,3.44,7.48,0.9646
2026-07-17T00:38:18,IMG_6473.JPG,152.0,145.0,154.12,151.73,2.12,6.73,1.4,4.64,0.9658
2026-07-17T00:53:13,IMG_6477.jpg,,,147.45,146.58,,,,,0.9511
2026-07-17T00:53:36,IMG_6478.jpg,,,148.97,147.8,,,,,0.953
2026-07-17T00:53:54,IMG_6479.jpg,,,164.98,161.17,,,,,0.9556
2026-07-17T00:54:07,IMG_6479.jpg,,,165.4,161.58,,,,,0.9556
2026-07-17T00:54:34,IMG_6480.jpg,,,160.03,154.68,,,,,0.9471
2026-07-17T00:54:47,IMG_6480.jpg,,,160.32,154.95,,,,,0.9471
2026-07-17T00:55:05,IMG_6481.jpg,,,164.14,158.67,,,,,0.9549
2026-07-17T00:55:17,IMG_6481.jpg,,,164.6,159.11,,,,,0.9549
2026-07-17T00:55:40,IMG_6482.jpg,,,163.42,151.55,,,,,0.9508
2026-07-17T00:55:53,IMG_6482.jpg,,,165.14,153.14,,,,,0.9508
2026-07-17T00:56:16,IMG_6483.jpg,,,156.97,152.19,,,,,0.9515
2026-07-17T00:56:28,IMG_6483.jpg,,,159.07,154.23,,,,,0.9515
2026-07-17T00:59:36,IMG_6484.jpg,,,157.94,34.45,,,,,0.8709
2026-07-17T00:59:54,IMG_6484.jpg,,,157.52,34.36,,,,,0.8709
2026-07-17T01:11:36,IMG_6486.jpg,,,162.18,159.81,,,,,0.9435
2026-07-17T01:11:48,IMG_6486.jpg,,,161.18,158.83,,,,,0.9435
2026-07-17T01:12:07,IMG_6488.jpg,,,164.25,158.17,,,,,0.9521
2026-07-17T01:12:40,IMG_6489.jpg,,,171.41,162.71,,,,,0.9578
2026-07-17T01:12:55,IMG_6489.jpg,,,169.79,161.17,,,,,0.9578
2026-07-17T01:13:18,IMG_6492.jpg,,,171.35,166.72,,,,,0.956
2026-07-17T01:13:32,IMG_6492.jpg,,,170.19,165.59,,,,,0.956
2026-07-17T01:13:55,IMG_6493.jpg,,,145.83,144.81,,,,,0.9583
2026-07-17T01:14:16,IMG_6493.jpg,,,146.92,145.88,,,,,0.9583
2026-07-17T01:14:41,IMG_6490.jpg,,,173.85,165.24,,,,,0.9578
2026-07-17T01:14:57,IMG_6490.jpg,,,173.7,165.1,,,,,0.9578
2026-07-17T01:15:19,IMG_6491.jpg,,,167.35,163.28,,,,,0.9528
2026-07-17T01:15:32,IMG_6491.jpg,,,167.04,162.98,,,,,0.9528
2026-07-17T01:15:52,IMG_6494.jpg,,,145.19,144.29,,,,,0.9632
2026-07-17T01:16:06,IMG_6494.jpg,,,145.33,144.43,,,,,0.9632
2026-07-17T01:16:33,IMG_6495.jpg,,,149.87,140.51,,,,,0.9516
2026-07-17T01:16:47,IMG_6495.jpg,,,149.87,140.51,,,,,0.9516
